coc_number,category,homeless_count
AK-500,Other Urban CoCs,1094
AK-501,Rural CoCs,922
AL-500,Suburban CoCs,901
AL-501,Other Urban CoCs,551
AL-502,Rural CoCs,256
AL-503,Other Urban CoCs,424
AL-504,Other Urban CoCs,369
AL-505,Rural CoCs,146
AL-506,Other Urban CoCs,57
AL-507,Rural CoCs,730
AR-500,Other Urban CoCs,1081
AR-501,Other Urban CoCs,474
AR-503,Rural CoCs,768
AR-504,Rural CoCs,57
AR-505,Rural CoCs,101
AR-508,Rural CoCs,231
AR-512,Rural CoCs,NA
AZ-500,Rural CoCs,2187
AZ-501,Major Cities,1380
AZ-502,Major Cities,6298
CA-500,Major Cities,7254
CA-501,Major Cities,6857
CA-502,Major Cities,5496
CA-503,Major Cities,3621
CA-504,Suburban CoCs,2996
CA-505,Suburban CoCs,2234
CA-506,Rural CoCs,3299
CA-507,Suburban CoCs,1095
CA-508,Suburban CoCs,2320
CA-509,Rural CoCs,880
CA-510,Suburban CoCs,1356
CA-511,Other Urban CoCs,1685
CA-512,Suburban CoCs,1238
CA-513,Other Urban CoCs,967
CA-514,Major Cities,2144
CA-515,Suburban CoCs,950
CA-516,Rural CoCs,1149
CA-517,Other Urban CoCs,322
CA-518,Other Urban CoCs,1129
CA-519,Rural CoCs,1125
CA-520,Suburban CoCs,514
CA-521,Suburban CoCs,448
CA-522,Rural CoCs,703
CA-523,Rural CoCs,268
CA-524,Suburban CoCs,765
CA-525,Suburban CoCs,645
CA-526,Rural CoCs,398
CA-527,Rural CoCs,125
CA-529,Rural CoCs,615
CA-530,Rural CoCs,157
CA-600,Major Cities,49955
CA-601,Major Cities,8576
CA-602,Suburban CoCs,4955
CA-603,Suburban CoCs,1706
CA-604,Other Urban CoCs,885
CA-606,Major Cities,1873
CA-607,Other Urban CoCs,677
CA-608,Suburban CoCs,2316
CA-609,Suburban CoCs,2118
CA-611,Other Urban CoCs,1308
CA-612,Other Urban CoCs,260
CA-613,Suburban CoCs,1493
CA-614,Suburban CoCs,1095
CO-500,Rural CoCs,3989
CO-503,Major Cities,5317
CO-504,Major Cities,1551
CT-503,Other Urban CoCs,741
CT-505,Suburban CoCs,3235
DC-500,Major Cities,6904
DE-500,Suburban CoCs,1082
FL-500,Suburban CoCs,1192
FL-501,Suburban CoCs,1795
FL-502,Suburban CoCs,2612
FL-503,Suburban CoCs,552
FL-504,Suburban CoCs,683
FL-505,Suburban CoCs,495
FL-506,Other Urban CoCs,909
FL-507,Suburban CoCs,2053
FL-508,Rural CoCs,756
FL-509,Suburban CoCs,1542
FL-510,Major Cities,1794
FL-511,Suburban CoCs,632
FL-512,Suburban CoCs,342
FL-513,Suburban CoCs,734
FL-514,Suburban CoCs,572
FL-515,Rural CoCs,381
FL-517,Rural CoCs,453
FL-518,Rural CoCs,493
FL-519,Suburban CoCs,2668
FL-520,Suburban CoCs,711
FL-600,Major Cities,3516
FL-601,Suburban CoCs,2318
FL-602,Suburban CoCs,164
FL-603,Suburban CoCs,728
FL-604,Rural CoCs,973
FL-605,Suburban CoCs,1309
FL-606,Suburban CoCs,653
GA-500,Major Cities,3076
GA-501,Rural CoCs,3730
GA-502,Suburban CoCs,222
GA-503,Other Urban CoCs,212
GA-504,Other Urban CoCs,269
GA-505,Other Urban CoCs,276
GA-506,Suburban CoCs,384
GA-507,Other Urban CoCs,1009
GA-508,Suburban CoCs,321
GU-500,Rural CoCs,854
HI-500,Rural CoCs,2035
HI-501,Suburban CoCs,4495
IA-500,Other Urban CoCs,264
IA-501,Rural CoCs,1721
IA-502,Other Urban CoCs,764
ID-500,Other Urban CoCs,756
ID-501,Rural CoCs,1256
IL-500,Suburban CoCs,179
IL-501,Suburban CoCs,256
IL-502,Suburban CoCs,277
IL-503,Other Urban CoCs,188
IL-504,Suburban CoCs,146
IL-506,Suburban CoCs,341
IL-507,Suburban CoCs,400
IL-508,Suburban CoCs,250
IL-509,Suburban CoCs,100
IL-510,Major Cities,5450
IL-511,Suburban CoCs,873
IL-512,Rural CoCs,387
IL-513,Other Urban CoCs,271
IL-514,Suburban CoCs,295
IL-515,Rural CoCs,92
IL-516,Other Urban CoCs,161
IL-517,Suburban CoCs,430
IL-518,Rural CoCs,198
IL-519,Rural CoCs,67
IL-520,Rural CoCs,282
IN-502,Rural CoCs,3576
IN-503,Major Cities,1682
KS-502,Major Cities,573
KS-503,Other Urban CoCs,408
KS-505,Suburban CoCs,168
KS-507,Rural CoCs,918
KY-500,Rural CoCs,2077
KY-501,Major Cities,926
KY-502,Other Urban CoCs,685
LA-500,Rural CoCs,363
LA-502,Other Urban CoCs,375
LA-503,Major Cities,1188
LA-505,Rural CoCs,187
LA-506,Suburban CoCs,194
LA-507,Rural CoCs,177
LA-509,Suburban CoCs,575
MA-500,Major Cities,6188
MA-502,Suburban CoCs,1061
MA-503,Suburban CoCs,358
MA-504,Suburban CoCs,3368
MA-505,Suburban CoCs,409
MA-506,Suburban CoCs,1852
MA-507,Suburban CoCs,651
MA-508,Suburban CoCs,783
MA-509,Other Urban CoCs,561
MA-510,Suburban CoCs,732
MA-511,Suburban CoCs,1090
MA-515,Suburban CoCs,377
MA-516,Suburban CoCs,2296
MA-517,Suburban CoCs,134
MA-519,Suburban CoCs,208
MD-500,Suburban CoCs,79
MD-501,Major Cities,2508
MD-502,Suburban CoCs,190
MD-503,Suburban CoCs,366
MD-504,Suburban CoCs,168
MD-505,Suburban CoCs,758
MD-506,Suburban CoCs,173
MD-507,Suburban CoCs,129
MD-508,Suburban CoCs,492
MD-509,Suburban CoCs,316
MD-510,Rural CoCs,15
MD-511,Rural CoCs,141
MD-512,Suburban CoCs,199
MD-513,Rural CoCs,292
MD-600,Suburban CoCs,478
MD-601,Suburban CoCs,840
