,coc_number,black,hispanic,share_rent,unemployment,share_pa,share_ssi,gini,rent,vacancy,single,veteran,poverty,older,pop_full,pop_pov,homeless,category,homeless_rate_full,homeless_rate_pov,state
1,AK-500,5.551615605,9.066501864,39.14329165,5.642562334,5.800570763,4.813938643,42.51,1306,6.111827766,25.32480943,13.13790067,4.030510891,25.10705409,296112,11646,1094,Urban,36.94548009,939.3783273,AK
2,AK-501,1.738230215,5.501532536,33.7509698,8.673580687,6.538812288,4.665232955,41.47026944,1139.704765,7.187779135,26.01097061,12.2433128,5.5488641,27.63266155,442404,23956,922,Rural,20.84067956,384.8722658,AK
3,AL-500,32.90792825,4.096367189,32.24428147,6.340313643,1.464094943,6.228192039,47.67756392,897.4575689,8.706537681,29.47924744,7.725377907,6.115979186,28.65276449,958459,57394,901,Suburban,9.400506438,156.9850507,AL
4,AL-501,26.84764422,3.424400176,32.18214312,5.593988676,1.267631466,5.573825031,47.1287016,883.4265519,21.88520812,30.27045932,9.908306816,7.33665922,30.31411477,622766,44795,551,Urban,8.847624951,123.0047996,AL
5,AL-502,9.103161128,4.249095557,27.42074017,5.807349522,1.159048221,6.839139586,45.24852266,612.1888056,9.713024283,28.69399428,7.646442363,6.274736463,31.73815,265633,16393,256,Rural,9.637356804,156.1642164,AL
6,AL-503,19.9580857,5.698097709,30.21414352,5.8555809,2.162508743,5.268845167,46.12343111,761.5545781,7.302209163,29.28331869,10.86657434,5.691714122,29.6901712,569734,31614,424,Urban,7.442069457,134.1177959,AL
7,AL-504,45.40463248,3.059063762,35.26933636,6.988307044,1.555970301,7.403199849,47.6989097,871.6878192,7.813697485,30.01988072,9.831351759,8.536917163,27.82042032,383941,31691,369,Urban,9.610851667,116.4368433,AL
8,AL-506,31.64688938,3.60646516,36.84908606,6.275386884,4.230508849,5.418698794,46.3,843,5.679414722,27.82436895,6.416882527,8.44864514,24.69291461,206213,16528,57,Urban,2.764132232,34.48693127,AL
9,AL-507,24.39249222,3.971021127,30.41971281,7.721843248,1.498949306,7.981708871,47.56137854,656.3453264,7.986893373,29.71768221,8.728161459,9.266877344,30.22676401,1520021.862,136963.2496,730,Rural,4.802562505,53.29896903,AL
10,AR-500,26.56650707,5.538905464,36.36642594,4.80495258,1.752088547,6.196273678,46.89864094,829.818993,12.06971139,30.45885358,9.921165615,6.70405818,28.08714662,591922,39086,1081,Urban,18.26254135,276.5696157,AR
11,AR-501,2.423539964,16.03410407,38.22783228,3.666052965,1.032370865,3.893135165,47.3411997,803.7806508,3.850547821,24.9131704,7.740915991,5.698629634,24.23078575,537248.3927,29957.89917,474,Urban,8.822734631,158.2220426,AR
12,AR-503,15.52914701,5.943928338,34.91118744,6.437084878,1.533193391,7.521085859,46.21822298,687.4318053,8.675760311,27.99714977,8.447872337,7.805430709,28.47197762,861837.7775,65158.06209,768,Rural,8.911189786,117.8672255,AR
13,AR-504,9.943288478,3.06987458,30.31005798,6.154880381,1.464222694,8.044221974,46.40721577,623.1990662,8.413415234,29.26212683,9.405829677,7.546384891,31.76663872,354249,25396,57,Rural,1.609037711,22.44447945,AR
14,AR-505,36.80371595,3.629081722,31.53488769,7.941066796,4.662205362,8.771152125,47.23932193,641.9038091,8.92774742,30.9969737,7.952365455,9.807504101,30.63368024,301619,27859,101,Rural,3.348595413,36.25399332,AR
15,AZ-500,2.180559693,28.41052935,29.84733684,8.654201703,2.332935668,5.621344724,44.5846735,881.5385744,7.709640586,26.65902479,11.52717883,8.826672601,31.38949479,1668074.836,140773.5006,2187,Rural,13.11092256,155.3559435,AZ
16,AZ-501,3.527726184,36.95379721,37.60996939,7.59602781,1.851302172,4.527982799,47.13,885,7.16511846,30.35616739,10.66617392,7.926812042,29.05409514,1019722,78562,1380,Urban,13.5331002,175.6574425,AZ
17,AZ-502,5.468860029,30.819713,38.62809338,5.520393658,1.62297554,3.85365287,46.65496513,1078.950936,6.372584391,26.77897622,7.920953044,6.899537441,26.03629618,4258888.164,289989.4994,6298,Urban,14.78789712,217.1802777,AZ
18,CA-500,2.500156071,25.77541359,43.25038354,4.790059453,1.948310452,4.954643798,46.52,2126,3.512228968,20.59179419,3.567597918,3.976900341,25.60165435,1922200,75242,7254,Urban,37.73800853,964.0892055,CA
